,dataset_name,dataset_type,accuracy
0,EuroSAT,zero_shot,0.5001851851851852
1,MLRSNet,zero_shot,0.6207117665918563
2,OPTIMAL_31,zero_shot,0.8494623655913979
3,PatternNet,zero_shot,0.6960526315789474
4,RESISC45,zero_shot,0.7985714285714286
5,RSI_CB256,zero_shot,0.46585858585858586
6,RSICD,zero_shot,0.8609332113449222
7,RSITMD,zero_shot,0.8119469026548672
8,SIRI_WHU,zero_shot,0.6416666666666667
9,UCM,zero_shot,0.8857142857142857
10,WHU_RS19,zero_shot,0.9502487562189055
11,EuroSAT,lnr_prob,0.9701851851851852
12,MLRSNet,lnr_prob,0.9439838776164522
13,OPTIMAL_31,lnr_prob,0.9354838709677419
14,PatternNet,lnr_prob,0.9911184210526316
15,RESISC45,lnr_prob,0.981904761904762
16,RSI_CB256,lnr_prob,0.9931313131313131
17,RSICD,lnr_prob,0.9515096065873742
18,RSITMD,lnr_prob,0.9623893805309734
19,SIRI_WHU,lnr_prob,0.95625
20,UCM,lnr_prob,0.9809523809523809
21,WHU_RS19,lnr_prob,1.0
22,EuroSAT,knn,0.9457407407407408
23,MLRSNet,knn,0.9284569230064581
24,OPTIMAL_31,knn,0.9112903225806451
25,PatternNet,knn,0.984375
26,RESISC45,knn,0.9771428571428571
27,RSI_CB256,knn,0.9894949494949495
28,RSICD,knn,0.9322964318389753
29,RSITMD,knn,0.9557522123893806
30,SIRI_WHU,knn,0.9395833333333333
31,UCM,knn,0.9619047619047619
32,WHU_RS19,knn,1.0
33,RSICD,image2text,0.40573207581723286
34,RSITMD,image2text,0.31309297912713474
35,SIDNEY,image2text,0.6508972267536705
36,UCM,image2text,0.9228571428571428
37,RSICD,text2image,0.26252174709275705
38,RSITMD,text2image,0.33354417035631456
39,SIDNEY,text2image,0.367047308319739
40,UCM,text2image,0.3119047619047619
